Produtos,,,,,,,,,,,,,,,,
Código,Código de barras,Nome,Estoque,Custo,Venda Preço unit.,Data última compra,Percentual % markup da última precificação,UN,Qt mínima estoque,Preço última compra,GRUPO,Códigos de barras/EANS,Observação,Pesável,Tipo de produto,Qt Máxima Estoque
3075,7898638070136,AMORA MIURA  500 MG 120CPS              CLINOAGE,2,"18,9","35,99",16/12/2025,"90,42",UN,0,,ENCAPSULADOS,7898638070136,,Não,00 - Mercadoria para revenda,0
10553,7898615897794,"ANEMITABS PLUS CONCETRADO FERRO,ACIDO FOLICO VIT B12 30CPS LASANDAY",1,"14,95","34,9",17/11/2025,"133,44",UN,0,,ENCAPSULADOS,7898615897794,,Não,00 - Mercadoria para revenda,0
1051865138,7899592825084,ANSIOZEN L-TRIPTOFANO + MAGNESIO 60CPS CLINICMAIS,3,"23,6075","49,9",20/01/2026,"111,37",UN,0,,ENCAPSULADOS,7899592825084,,Não,00 - Mercadoria para revenda,0
2537,7896663301331,APIREAL 30CPS (GELEIA REAL LIOFILIZADA)  APIS FLORA,2,"31,02","55,9",2/12/2025,"80,21",UN,0,,ENCAPSULADOS,7896663301331,,Não,00 - Mercadoria para revenda,0
2532,7896624700067,APITOXINA ALERGEN VEROMED 30ML,0,"28,17","44,9",28/08/2025,0,UN,0,,GERAL,7896624700067,,Não,00 - Mercadoria para revenda,0
302,,ARGILA AMARELA  KG,"1,42","6,5",16,19/12/2025,"146,15",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
303,,ARGILA BRANCA KG,"0,276","7,4",16,06/04/2026,"116,22",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
304,,ARGILA CINZA KG,"1,32","7,99",16,3/12/2025,"100,25",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
305,,ARGILA PRETA KG,"1,056","7,99",16,06/04/2026,"100,25",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
309,,ARGILA VERDE KG,"1,522","7,4",16,06/04/2026,"116,22",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
306,,ARGILA VERMELHA  KG,"0,562","7,99",16,23/02/2026,"100,25",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1992,736532007445,ARGININA 3000 90TBS 3000MG NBF,1,"49,9","89,9",27/03/2026,"80,16",UN,0,,ENCAPSULADOS,736532007445,,Não,00 - Mercadoria para revenda,0
3039,7898615892171,ARGININA VIT C 30CPS S.GEL NDP LASANDAY,0,"24,95","44,9",04/02/2026,"79,96",UN,0,,ENCAPSULADOS,7898615892171,,Não,00 - Mercadoria para revenda,0
1051865232,7898501760362,AROMAT. KIT PRESENTE ORIGINAL BAMBOO/LAV VIAAROMA,1,"47,01","89,9",03/03/2026,"91,24",UN,0,,OLEO ESSENCIAL,7898501760362,,Não,00 - Mercadoria para revenda,0
2878,7898501761413,AROMAT. KIT PRESENTE STANDARD BAMBOO/LAV VIAAROMA,2,"35,93","64,9",30/08/2024,"80,63",UN,0,,OLEO ESSENCIAL,7898501761413,,Não,00 - Mercadoria para revenda,0
2950,7898501766517,AROMAT. KIT PRESENTE STANDARD CAPIM LIMAO/JASMIM B,0,"32,13","64,5",,0,UN,0,,GERAL,7898501766517,,Não,00 - Mercadoria para revenda,0
10400,7898501761406,AROMAT. KIT PRESENTE STANDARD FLOR DE CEREJEIRA/VANILLA VIAAROMA,0,"34,77","64,9",3/3/2025,"86,66",UN,0,,OLEO ESSENCIAL,7898501761406,,Não,00 - Mercadoria para revenda,0
1051865233,7898501760065,AROMAT. ORIGINAL C/BAMBOO VIAAROMA,2,"31,98","69,9",24/10/2025,"118,57",UN,0,,OLEO ESSENCIAL,7898501760065,,Não,00 - Mercadoria para revenda,0
3450,7898501760041,AROMAT. ORIGINAL C/LAVANDA VIAAROMA,3,"29,34","69,9",29/10/2024,"138,24",UN,0,,OLEO ESSENCIAL,7898501760041,,Não,00 - Mercadoria para revenda,0
2857,7898501760010,AROMAT. ORIGINAL PORCELANA VIAAROMA,5,"22,43","59,9",25/11/2025,"167,05",UN,0,,OLEO ESSENCIAL,7898501760010,,Não,00 - Mercadoria para revenda,0
1770,7898501767026,AROMAT. PORCELANA BLACK VIAAROMA,2,"30,58","59,9",,"95,88",UN,0,,OLEO ESSENCIAL,7898501767026,,Não,00 - Mercadoria para revenda,0
1051863,7898501760973,AROMAT. STANDARD BLACK VIAAROMA,2,"18,14","44,9",22/09/2025,"147,52",UN,0,,OLEO ESSENCIAL,7898501760973,,Não,00 - Mercadoria para revenda,0
2951,7898501766562,AROMAT. STANDARD C/BAMBOO VIAAROMA,4,"26,93","54,9",08/12/2025,"103,86",UN,0,,OLEO ESSENCIAL,7898501766562,,Não,00 - Mercadoria para revenda,0
2952,7898501766593,AROMAT. STANDARD C/VANILLA VIAAROMA,0,"24,63","54,9",13/02/2026,"122,9",UN,0,,OLEO ESSENCIAL,7898501766593,,Não,00 - Mercadoria para revenda,0
2891,7898501762052,AROMAT. STANDARD VIAAROMA,4,"18,14","44,9",30/05/2025,"147,52",UN,0,,OLEO ESSENCIAL,7898501762052,,Não,00 - Mercadoria para revenda,0
501,,ARROZ 8 GRAOS KG,"4,038","13,9","25,9",08/04/2026,"86,33",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
32,,ARROZ AGULHA INTEGRAL,0,0,"0,01",,0,KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
2376,7896084700089,ARROZ AGULHA INTEGRAL 1KG,0,"8,3","8,5",,0,UN,0,,GERAL,7896084700089,,Não,00 - Mercadoria para revenda,0
523,,ARROZ BASMATI KG,0,"10,86",24,25/03/2026,"120,99",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
